Año,Clave del incendio,latitud_grados,latitud_minutos,latitud_segundos,Latitud,longitud_grados,longitud_minutos,longitud_segundos,Longitud,Clave Municipio,Estado,Municipio,CVE_ENT,CVE_MUN,CVEGEO,Región,Predio,Causa,Causa especifica,Fecha Inicio,Fecha Termino,Duración días,Tipo de incendio,Tipo Vegetación,Régimen de fuego,Tipo impacto,Arbolado Adulto,Renuevo,Arbustivo,Herbáceo,Hojarasca,Total hectáreas,Tamaño,Detección,Llegada,Duración
2021,21-01-0001,21,59,53.79,21.998275,102,13,53.7,-102.2315833,11,Aguascalientes,San Francisco de los Romo,1,11,1011,Occidente,La Reserva de Mezquite,Fumadores,Ninguna / No aplica,44200,44200,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0,10.15,0,10.15,11 a 20 Hectáreas,0.006944444,0.003472222,0.131944444
2021,21-01-0002,21,49,26.01,21.823892,102,14,56.2,-102.2489444,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Predio Villalobos,Actividades ilícitas,Vandalismo,44200,44201,2 a 3 Días,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0,1.16,0,1.16,0 a 5 Hectáreas,0.003472222,0.006944444,0.104166667
2021,21-01-0003,22,13,15.77,22.221047,102,20,3.42,-102.3342833,7,Aguascalientes,Rincón de Romos,1,7,1007,Occidente,Cerro Colomos,Actividades ilícitas,Vandalismo,44219,44219,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.7,13.31,0,14.01,11 a 20 Hectáreas,0.006944444,0.003472222,0.159722222
2021,21-01-0004,22,3,15.61,22.054336,101,53,17.26,-101.8881278,2,Aguascalientes,Asientos,1,2,1002,Occidente,Uso Común ejido Tanque de Guadalupe,Actividades ilícitas,Vandalismo,44220,44221,2 a 3 Días,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,25.978,103.912,0,129.89,Mayor a 100 Hectáreas,0.013888889,0.041666667,0.666666667
2021,21-01-0005,21,48,8.6,21.802389,102,31,10.5,-102.5195833,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Uso Común ejido Los Caños y Anexos,Fogatas,Fogatas de paseantes,44228,44229,2 a 3 Días,Superficial,Bosque de Encino,Adaptado,Impacto Mínimo,0,0,0.823,7.407,0,8.23,6 a 10 Hectáreas,0.010416667,0.03125,0.625
2021,21-01-0006,21,45,26.63,21.757397,102,28,35.05,-102.4764028,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Uso Común ejido Centro de Arriba,Fumadores,Ninguna / No aplica,44232,44233,2 a 3 Días,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,1.8151,34.4855,0,36.3006,21 a 50 Hectáreas,0.020833333,0.010416667,1.020833333
2021,21-01-0007,22,2,32.79,22.042442,102,23,3.21,-102.384225,5,Aguascalientes,Jesús María,1,5,1005,Occidente,"Uso comun ejido El Aurero, La Loma y El Refugio",Fogatas,Fogatas de paseantes,44233,44236,4 a 7 Días,Superficial,Bosque de Encino,Adaptado,Impacto Mínimo,4.5,0,8.8,74.97,0,88.27,51 a 100 Hectáreas,0.020833333,0.03125,2.854166667
2021,21-01-0008,21,45,22.42,21.756228,102,26,18.56,-102.4384889,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Predio los Calogados,Actividades ilícitas,Vandalismo,44241,44242,2 a 3 Días,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,13.55,122,0,135.55,Mayor a 100 Hectáreas,0.020833333,0.013888889,0.916666667
2021,21-01-0009,21,49,53.95,21.831653,102,7,37.5,-102.1270833,10,Aguascalientes,El Llano,1,10,1010,Occidente,Los Aguilares,Fumadores,Ninguna / No aplica,44237,44237,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,6.9,27.58,0,34.48,21 a 50 Hectáreas,0.010416667,0.010416667,0.208333333
2021,21-01-0010,22,10,31.16,22.175322,102,34,15.95,-102.5710972,8,Aguascalientes,San José de Gracia,1,8,1008,Occidente,Los Venados,Fogatas,Otras,44238,44238,1 Día,Superficial,Bosque de Encino,Adaptado,Impacto Mínimo,0,0,0,0.53,0,0.53,0 a 5 Hectáreas,0.003472222,0.006944444,0.135416667
2021,21-01-0011,22,2,45.51,22.045975,102,10,18.21,-102.171725,11,Aguascalientes,San Francisco de los Romo,1,11,1011,Occidente,Amapolas,Actividades ilícitas,Vandalismo,44259,44259,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,1.94,10.37,0.65,12.96,11 a 20 Hectáreas,0.013888889,0.017361111,0.270833333
2021,21-01-0012,22,0,1.9,22.000528,102,41,22.17,-102.6894917,3,Aguascalientes,Calvillo,1,3,1003,Occidente,Cerro de Las Palmas,Desconocidas,Ninguna / No aplica,44260,44260,1 Día,Superficial,Selva Baja Caducifolia,Sensible,Impacto Mínimo,0,0,4.55,13.65,0,18.2,11 a 20 Hectáreas,0.00625,0.020833333,0.165972222
2021,21-01-0013,21,58,26.23,21.973953,102,22,51.11,-102.3808639,5,Aguascalientes,Jesús María,1,5,1005,Occidente,Arroyo Seco,Desconocidas,Ninguna / No aplica,44269,44270,2 a 3 Días,Mixto,Selva Baja Caducifolia,Sensible,Impacto Moderado,10.935,0,32.8,174.938,0,218.673,Mayor a 100 Hectáreas,0.013888889,0.013888889,1.173611111
2021,21-01-0014,21,58,45.58,21.979328,102,12,43.28,-102.2120222,11,Aguascalientes,San Francisco de los Romo,1,11,1011,Occidente,San Nicolas,Fumadores,Ninguna / No aplica,44258,44258,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.93,5.3,0,6.23,6 a 10 Hectáreas,0.006944444,0.019444444,0.090277778
2021,21-01-0015,21,49,8.95,21.819153,102,15,29.14,-102.2580944,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Cobos,Actividades ilícitas,Vandalismo,44268,44268,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0,5.37,0,5.37,6 a 10 Hectáreas,0.013888889,0.013888889,0.145833333
2021,21-01-0016,21,49,32.62,21.825728,102,15,18.87,-102.2552417,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Cobos,Actividades ilícitas,Vandalismo,44271,44271,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,15.95,143.54,0,159.49,Mayor a 100 Hectáreas,0.020833333,0.006944444,0.395833333
2021,21-01-0017,21,49,25.55,21.823764,102,14,51.77,-102.2477139,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Arroyo Cobos,Actividades ilícitas,Vandalismo,44272,44272,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,8.31,0.44,0,8.75,6 a 10 Hectáreas,0.020833333,0.020833333,0.25
2021,21-01-0018,22,4,19.39,22.072053,102,2,33.8,-102.0427222,2,Aguascalientes,Asientos,1,2,1002,Occidente,San Vicente,Actividades ilícitas,Vandalismo,44274,44274,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,6.64,0,9.96,5.53,0,22.13,21 a 50 Hectáreas,0.020833333,0.020833333,0.229166667
2021,21-01-0019,22,0,54.13,22.015036,102,14,3.91,-102.2344194,11,Aguascalientes,San Francisco de los Romo,1,11,1011,Occidente,Chicalote,Actividades ilícitas,Vandalismo,44277,44277,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,4.29,12.87,0,17.16,11 a 20 Hectáreas,0.006944444,0.013888889,0.139583333
2021,21-01-0020,21,58,46.35,21.979542,102,14,8.5,-102.2356944,11,Aguascalientes,San Francisco de los Romo,1,11,1011,Occidente,Macario,Actividades ilícitas,Vandalismo,44280,44280,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Moderado,0,0,8.57,12.85,0,21.42,21 a 50 Hectáreas,0.020833333,0.013888889,0.270833333
2021,21-01-0021,21,45,16.61,21.754614,102,13,58.3,-102.2328611,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Los Coyotes,Actividades ilícitas,Vandalismo,44295,44295,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,1.846,16.619,0,18.465,11 a 20 Hectáreas,0.003472222,0.010416667,0.150694444
2021,21-01-0022,21,42,25.8,21.707167,102,23,42.9,-102.39525,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Lumbreras,Actividades ilícitas,Vandalismo,44299,44299,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,5.92,53.31,0,59.23,51 a 100 Hectáreas,0.010416667,0.020833333,0.354166667
2021,21-01-0023,22,5,7.26,22.08535,102,36,23.22,-102.60645,8,Aguascalientes,San José de Gracia,1,8,1008,Occidente,Los Laureles,Fogatas,Fogatas de paseantes,44300,44302,2 a 3 Días,Mixto,Bosque de Encino,Adaptado,Impacto Moderado,0.33,0,1.5,0.73,4,6.56,6 a 10 Hectáreas,0.006944444,0.159722222,1.8125
2021,21-01-0024,22,14,50.24,22.247289,102,24,53.56,-102.4148778,7,Aguascalientes,Rincón de Romos,1,7,1007,Occidente,Uso Común Ejido Túnel del Potrerillo,Fumadores,Ninguna / No aplica,44301,44301,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,6.99465,132.89835,0,139.893,Mayor a 100 Hectáreas,0.010416667,0.017361111,0.194444444
2021,21-01-0025,22,3,21.18,22.055883,102,20,53.91,-102.3483083,5,Aguascalientes,Jesús María,1,5,1005,Occidente,Colonia Nueva,Fogatas,Otras,44304,44304,1 Día,Mixto,Selva Baja Caducifolia,Sensible,Impacto Moderado,0,0,4.836,11.284,0,16.12,11 a 20 Hectáreas,0.003472222,0.010416667,0.284722222
2021,21-01-0026,21,51,15.32,21.854256,102,12,45.9,-102.21275,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Paso Hondo,Actividades ilícitas,Vandalismo,44304,44304,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.2,3.95,0,4.15,0 a 5 Hectáreas,0.003472222,0.008333333,0.086805556
2021,21-01-0027,22,9,26.36,22.157322,102,32,20,-102.5388889,8,Aguascalientes,San José de Gracia,1,8,1008,Occidente,Mesa del Aparejo,Fumadores,Ninguna / No aplica,44306,44306,1 Día,Mixto,Bosque de Encino,Adaptado,Impacto Mínimo,0.511,0,0.511,4.09,0,5.112,6 a 10 Hectáreas,0.004861111,0.013888889,0.341666667
2021,21-01-0028,21,57,38.56,21.960711,102,13,1,-102.2169444,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,San Nicolas de Arriba,Actividades ilícitas,Vandalismo,44303,44303,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.361,3.251,0,3.612,0 a 5 Hectáreas,0.006944444,0.010416667,0.154861111
2021,21-01-0029,21,45,6.36,21.751767,102,44,37.6,-102.7437778,3,Aguascalientes,Calvillo,1,3,1003,Occidente,Mesa del Roble,Actividades Agrícolas,Quema para preparación de siembra,44309,44310,2 a 3 Días,Mixto,Bosque de Encino,Adaptado,Impacto Moderado,3.89,0,11.67,31.12,31.12,77.8,51 a 100 Hectáreas,0.006944444,0.010416667,1.135416667
2021,21-01-0030,22,13,2.93,22.217481,102,36,37.39,-102.6103861,8,Aguascalientes,San José de Gracia,1,8,1008,Occidente,Mesa del Águila,Desconocidas,Ninguna / No aplica,44310,44311,2 a 3 Días,Superficial,Bosque de Encino,Adaptado,Impacto Mínimo,0,0,0.184,2.944,0.552,3.68,0 a 5 Hectáreas,0.010416667,0.010416667,1.020833333
2021,21-01-0031,22,8,15.25,22.137569,102,24,3.92,-102.4010889,8,Aguascalientes,San José de Gracia,1,8,1008,Occidente,Uso Común Ejido San José de Gracia,Fogatas,Otras,44311,44311,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0.41,7.82,0,8.23,6 a 10 Hectáreas,0.006944444,0.013888889,0.375
