FechaLocal,TemperaturaAire(C),Precipitacion(mm),HumedadRelativa(Porcentaje),PresionAtmosferica(hpa),RadiacionSolar(W/m2),DireccionViento(grados),RapidezViento(km/h),DireccionRafaga(grados),RapidezRafaga(km/h)
14/10/2020 23:50,26,0,85,1013,0,104,10.8,148,15.84
14/10/2020 23:40,26.3,0,84,1012.9,0,99,10.08,122,14.76
14/10/2020 23:30,26.6,0,83,1013,0,95,10.8,121,15.84
14/10/2020 23:20,27,0,80,1013.1,0,81,10.8,112,19.8
14/10/2020 23:10,27.2,0,79,1013.1,0,75,12.6,128,22.68
14/10/2020 23:00,27.2,0,77,1013,0,65,14.04,104,24.12
14/10/2020 22:50,27.1,0,75,1013,0,62,12.6,131,21.24
14/10/2020 22:40,27.2,0,76,1013,0,66,12.96,110,19.8
14/10/2020 22:30,27.2,0,75,1012.9,0,65,13.32,108,24.84
14/10/2020 22:20,27.2,0,76,1012.9,0,67,14.4,133,23.4
14/10/2020 22:10,27.2,0,77,1013,0,63,14.04,121,24.48
14/10/2020 22:00,27.3,0,77,1013,0,65,14.04,105,25.2
14/10/2020 21:50,27.3,0,76,1013,0,63,15.12,103,23.76
14/10/2020 21:40,27.3,0,77,1013,0,60,11.88,112,24.12
14/10/2020 21:30,27.4,0,77,1013,0,61,12.24,128,19.44
14/10/2020 21:20,27.4,0,75,1013,0,66,14.4,128,22.68
14/10/2020 21:10,27.4,0,77,1012.9,0,63,13.68,109,21.96
14/10/2020 21:00,27.4,0,76,1012.8,0,61,12.6,94,20.52
14/10/2020 20:50,27.5,0,75,1012.7,0,57,13.68,95,22.32
14/10/2020 20:40,27.5,0,77,1012.7,0,52,12.6,109,24.48
14/10/2020 20:30,27.5,0,76,1012.5,0,53,15.12,91,22.68
14/10/2020 20:20,27.5,0,77,1012.4,0,55,12.96,100,26.28
14/10/2020 20:10,27.5,0,76,1012.3,0,59,14.4,137,22.68
14/10/2020 20:00,27.8,0,76,1012.2,0,52,14.76,93,23.76
14/10/2020 19:50,27.7,0,77,1012.4,0,49,12.6,90,18
14/10/2020 19:40,27.7,0,76,1012.2,0,50,12.96,85,22.68
14/10/2020 19:30,27.7,0,75,1012.2,0,51,12.96,81,18.36
14/10/2020 19:20,27.7,0,76,1012.1,0,51,12.24,86,19.8
14/10/2020 19:10,27.7,0,76,1012.1,0,51,10.44,98,18
14/10/2020 19:00,27.8,0,75,1012.1,0,53,10.08,96,19.44
14/10/2020 18:50,28,0,74,1012.1,0,47,13.68,82,20.88
14/10/2020 18:40,28.1,0,74,1012,0,50,12.6,126,22.32
14/10/2020 18:30,28.1,0,72,1012.1,7,51,11.88,98,19.8
14/10/2020 18:20,28.2,0,71,1012.1,30,49,13.32,86,21.6
14/10/2020 18:10,28.5,0,70,1012.1,66,49,15.12,102,22.68
14/10/2020 18:00,28.8,0,67,1012.1,110,41,14.4,87,22.68
14/10/2020 17:50,28.9,0,68,1012.1,64,43,12.24,93,21.24
14/10/2020 17:40,29.1,0,68,1012.1,96,39,15.84,73,23.04
14/10/2020 17:30,29.4,0,67,1012,213,44,14.4,89,21.96
14/10/2020 17:20,30,0,66,1011.9,297,39,14.4,87,22.32
14/10/2020 17:10,30.3,0,66,1011.8,333,30,13.68,80,23.4
14/10/2020 17:00,30.3,0,64,1011.8,367,44,14.76,100,21.6
14/10/2020 16:50,30,0,63,1011.9,406,36,14.76,80,23.76
14/10/2020 16:40,30.2,0,63,1011.9,446,37,15.84,80,23.4
14/10/2020 16:30,30.3,0,62,1011.8,480,29,16.2,72,25.2
14/10/2020 16:20,30.6,0,61,1011.9,517,33,15.12,67,22.68
14/10/2020 16:10,30.8,0,60,1012,553,36,15.48,72,23.04
14/10/2020 16:00,30.6,0,60,1012.1,583,34,15.48,84,25.56
14/10/2020 15:50,30.6,0,61,1012.2,610,35,16.2,75,25.56
14/10/2020 15:40,30.5,0,60,1012.1,636,31,17.28,62,25.56
14/10/2020 15:30,30.5,0,61,1012.2,661,28,17.28,68,24.12
14/10/2020 15:20,30.7,0,61,1012.3,684,30,15.84,78,23.04
14/10/2020 15:10,30.8,0,61,1012.3,710,33,16.92,87,28.08
14/10/2020 15:00,31.2,0,61,1012.4,731,35,15.84,84,25.56
