"Gerencia De Manejo del Fuego, Diciembre 2022",,,,
Año,Entidad Federativa,Cantidad de Incendios Forestales,Superficie quemada en ha,Región
1970,Chihuahua,301,50088,Norte
1970,Chiapas,97,15395,Sureste
1970,Guanajuato,10,12801,Occidente
1970,México,906,11514,Centro
1970,Oaxaca,106,9516,Centro
1970,Jalisco,239,9396,Occidente
1970,Michoacán,550,8721,Occidente
1970,Tamaulipas,3,7945,Noreste
1970,Puebla,560,7846,Centro
1970,Baja California,43,7584,Noroeste
1970,Nayarit,39,6288,Occidente
1970,Durango,166,5247,Norte
1970,Guerrero,77,5236,Centro
1970,Tlaxcala,126,5185,Centro
1970,Ciudad de México,664,4699,Centro
1970,Hidalgo,99,3345,Centro
1970,Morelos,511,3103,Centro
1970,Sinaloa,16,3061,Noroeste
1970,Coahuila,10,2645,Noreste
1970,Zacatecas,11,1317,Occidente
1970,Veracruz,164,641,Centro
1970,San Luis Potosí,14,526,Occidente
1970,Nuevo León,11,359,Noreste
1970,Querétaro,12,324,Centro
1970,Aguascalientes,4,167,Occidente
1970,Colima,3,110,Occidente
1970,Quintana Roo,3,83,Sureste
1970,Yucatán,5,63,Sureste
1970,Baja California Sur,1,2,Noroeste
1970,Campeche,0,0,Sureste
1970,Sonora,0,0,Noroeste
1970,Tabasco,0,0,Sureste
1971,Nuevo León,55,24585,Noreste
1971,Chihuahua,333,21900,Norte
1971,Tamaulipas,26,20758,Noreste
1971,San Luis Potosí,77,17221,Occidente
1971,Coahuila,35,16767,Noreste
1971,Jalisco,297,11737,Occidente
1971,México,1147,9714,Centro
1971,Durango,267,7444,Norte
1971,Puebla,464,6952,Centro
1971,Guerrero,76,6345,Centro
1971,Oaxaca,59,6158,Centro
1971,Michoacán,430,5685,Occidente
1971,Sonora,15,5162,Noroeste
1971,Sinaloa,29,4225,Noroeste
1971,Tlaxcala,190,3490,Centro
1971,Chiapas,119,3427,Sureste
1971,Baja California,21,2886,Noroeste
1971,Ciudad de México,472,2658,Centro
1971,Zacatecas,18,2062,Occidente
1971,Morelos,411,1927,Centro
1971,Aguascalientes,10,1578,Occidente
1971,Hidalgo,135,1423,Centro
1971,Nayarit,22,1398,Occidente
1971,Querétaro,13,1056,Centro
1971,Yucatán,12,744,Sureste
1971,Veracruz,131,706,Centro
1971,Campeche,9,391,Sureste
1971,Guanajuato,8,364,Occidente
1971,Colima,8,99,Occidente
1971,Baja California Sur,0,0,Noroeste
1971,Quintana Roo,0,0,Sureste
1971,Tabasco,0,0,Sureste
1972,Durango,97,30000,Norte
1972,Coahuila,4,24121,Noreste
1972,Jalisco,113,20447,Occidente
1972,Baja California,10,10963,Noroeste
1972,Sonora,7,10548,Noroeste
1972,Chihuahua,281,9252,Norte
1972,México,980,8014,Centro
1972,Michoacán,268,4558,Occidente
1972,Sinaloa,23,3160,Noroeste
1972,Campeche,30,2751,Sureste
1972,Ciudad de México,419,2295,Centro
1972,Aguascalientes,21,2214,Occidente
1972,Nayarit,21,2085,Occidente
1972,Morelos,340,1568,Centro
1972,Guerrero,78,1408,Centro
1972,Chiapas,75,1374,Sureste
1972,Puebla,224,1278,Centro
1972,Tlaxcala,111,1197,Centro
1972,Oaxaca,36,827,Centro
1972,Veracruz,104,354,Centro
1972,Zacatecas,10,282,Occidente
1972,Hidalgo,60,277,Centro
1972,Colima,11,205,Occidente
1972,Yucatán,10,143,Sureste
1972,Nuevo León,7,141,Noreste
1972,San Luis Potosí,6,104,Occidente
1972,Querétaro,11,98,Centro
1972,Guanajuato,2,50,Occidente
1972,Tabasco,1,27,Sureste
1972,Tamaulipas,1,5,Noreste
1972,Baja California Sur,0,0,Noroeste
1972,Quintana Roo,0,0,Sureste
1973,Chiapas,229,20151,Sureste
1973,Baja California,21,18171,Noroeste
1973,México,1186,14565,Centro
1973,Oaxaca,110,11545,Centro
1973,Coahuila,14,6619,Noreste
1973,Michoacán,294,6552,Occidente
1973,Durango,154,6480,Norte
1973,San Luis Potosí,31,5695,Occidente
1973,Jalisco,222,5216,Occidente
1973,Veracruz,210,4481,Centro
1973,Campeche,19,3966,Sureste
1973,Puebla,422,3224,Centro
1973,Ciudad de México,599,2986,Centro
1973,Hidalgo,183,2442,Centro
1973,Chihuahua,86,2325,Norte
1973,Morelos,501,1923,Centro
1973,Aguascalientes,21,1824,Occidente
1973,Tlaxcala,142,1630,Centro
1973,Nuevo León,20,1398,Noreste
1973,Sonora,10,1219,Noroeste
1973,Sinaloa,23,1025,Noroeste
1973,Nayarit,14,993,Occidente
1973,Baja California Sur,8,800,Noroeste
1973,Zacatecas,10,576,Occidente
1973,Querétaro,14,507,Centro
1973,Guanajuato,17,412,Occidente
1973,Guerrero,30,290,Centro
1973,Yucatán,6,135,Sureste
1973,Colima,3,38,Occidente
1973,Tamaulipas,2,28,Noreste
1973,Quintana Roo,0,0,Sureste
1973,Tabasco,0,0,Sureste
1974,Coahuila,35,33688,Noreste
1974,Chihuahua,359,23151,Norte
1974,Baja California,19,14618,Noroeste
1974,Durango,345,13926,Norte
1974,Sonora,16,11215,Noroeste
1974,Jalisco,327,8272,Occidente
1974,Chiapas,153,6823,Sureste
1974,Oaxaca,80,5098,Centro
1974,México,1107,4997,Centro
1974,Sinaloa,36,4758,Noroeste
1974,Michoacán,372,3831,Occidente
1974,Ciudad de México,673,2967,Centro
1974,Tamaulipas,9,2645,Noreste
1974,Quintana Roo,11,2538,Sureste
1974,Nuevo León,17,2202,Noreste
1974,Puebla,495,1957,Centro
1974,Aguascalientes,16,1892,Occidente
1974,Nayarit,30,1770,Occidente
1974,San Luis Potosí,14,1750,Occidente
1974,Morelos,538,1640,Centro
1974,Zacatecas,11,1640,Occidente
1974,Guerrero,77,1632,Centro
1974,Tlaxcala,134,1193,Centro
1974,Guanajuato,16,848,Occidente
1974,Campeche,42,724,Sureste
1974,Veracruz,82,326,Centro
1974,Hidalgo,76,293,Centro
1974,Colima,7,156,Occidente
1974,Yucatán,7,141,Sureste
1974,Querétaro,10,108,Centro
1974,Baja California Sur,0,0,Noroeste
1974,Tabasco,0,0,Sureste
1975,Quintana Roo,80,97655,Sureste
1975,Chiapas,347,24804,Sureste
1975,Jalisco,339,24767,Occidente
1975,Coahuila,43,19074,Noreste
1975,México,1458,8864,Centro
1975,Michoacán,561,8353,Occidente
1975,Chihuahua,303,7732,Norte
1975,Durango,251,7456,Norte
1975,Nuevo León,32,6434,Noreste
1975,Nayarit,45,4364,Occidente
1975,Oaxaca,133,4168,Centro
1975,Puebla,631,4086,Centro
1975,Ciudad de México,946,4027,Centro
1975,Tamaulipas,28,3708,Noreste
1975,Guanajuato,31,3481,Occidente
1975,Morelos,756,3275,Centro
1975,Guerrero,107,3144,Centro
1975,Baja California,10,2212,Noroeste
1975,Tabasco,5,2100,Sureste
1975,Sinaloa,48,2016,Noroeste
1975,Tlaxcala,204,1981,Centro
1975,San Luis Potosí,14,1752,Occidente
1975,Campeche,37,1163,Sureste
1975,Hidalgo,145,932,Centro
1975,Veracruz,137,748,Centro
1975,Aguascalientes,9,550,Occidente
1975,Colima,9,329,Occidente
1975,Querétaro,26,197,Centro
1975,Yucatán,13,174,Sureste
1975,Zacatecas,9,116,Occidente
1975,Baja California Sur,0,0,Noroeste
1975,Sonora,0,0,Noroeste
1976,Chiapas,449,22712,Sureste
1976,Michoacán,717,22465,Occidente
1976,Jalisco,446,20292,Occidente
1976,Durango,324,11906,Norte
1976,Chihuahua,371,9633,Norte
1976,México,1569,8050,Centro
1976,Nayarit,54,4746,Occidente
1976,Ciudad de México,650,2885,Centro
1976,Guerrero,93,2772,Centro
1976,Sonora,6,2678,Noroeste
1976,Morelos,711,2408,Centro
1976,Coahuila,17,1880,Noreste
1976,Tlaxcala,179,1736,Centro
1976,Oaxaca,97,1565,Centro
1976,Sinaloa,42,1489,Noroeste
1976,Nuevo León,15,1409,Noreste
1976,Puebla,320,1377,Centro
1976,Zacatecas,16,1062,Occidente
1976,Aguascalientes,5,818,Occidente
1976,Hidalgo,160,808,Centro
1976,San Luis Potosí,28,636,Occidente
1976,Tamaulipas,3,635,Noreste
1976,Colima,16,614,Occidente
1976,Guanajuato,29,564,Occidente
1976,Yucatán,20,455,Sureste
1976,Campeche,4,445,Sureste
1976,Veracruz,71,260,Centro
